day_index,validation_design,method,max_rel,p99_rel,meaningful_max_rel,mae,avg_benchmark_stderr
0,development,anisotropic_chebyshev_d13,0.001756130643350007,0.0015754719577088828,0.001756130643350007,0.007890838528701987,0.008623030648900857
0,development,anisotropic_chebyshev_d15,0.007127072713978198,0.004876037348361519,0.007127072713978198,0.008893757993925043,0.008623030648900857
0,development,anisotropic_chebyshev_d17,0.005634786786339729,0.0040660220220863534,0.005634786786339729,0.008954112345415245,0.008623030648900857
0,development,anisotropic_chebyshev_d19,0.0019982963776436044,0.0017087290946222655,0.0019982963776436044,0.007620864751722487,0.008623030648900857
0,development,anisotropic_chebyshev_d21,0.015541438687292618,0.009896234758333334,0.015541438687292618,0.01019871014838382,0.008623030648900857
0,development,anisotropic_chebyshev_d23,0.06433268453910584,0.03929178234007201,0.06433268453910584,0.018360771135393986,0.008623030648900857
0,development,hermite,0.0026343723374673373,0.0022803760517144376,0.0026343723374673373,0.007877487408681733,0.008623030648900857
0,development,local,0.05588029110750737,0.04667858012164235,0.05588029110750737,0.05162278393615624,0.008623030648900857
0,development,nystrom,0.0024081722361977424,0.0023388745345085137,0.0024081722361977424,0.008361178129530262,0.008623030648900857
0,development,adaptive_hybrid_current,0.009198797519875578,0.006061615082180961,0.009198797519875578,0.008946963292378792,0.008623030648900857
0,independent,anisotropic_chebyshev_d13,0.0019018035385445133,0.0018945450766929453,0.0019018035385445133,0.01215394286995207,0.00861201239276412
0,independent,anisotropic_chebyshev_d15,0.007124879731786638,0.0052121599239895195,0.007124879731786638,0.012975940903751922,0.00861201239276412
0,independent,anisotropic_chebyshev_d17,0.0056369519800511915,0.004222450877137946,0.0056369519800511915,0.013226739739362938,0.00861201239276412
0,independent,anisotropic_chebyshev_d19,0.0019961145631740475,0.0019710215502205474,0.0019961145631740475,0.011824708688365474,0.00861201239276412
0,independent,anisotropic_chebyshev_d21,0.015539227383128356,0.010097783513827754,0.015539227383128356,0.014450271173271792,0.00861201239276412
0,independent,anisotropic_chebyshev_d23,0.06433472192030194,0.03949019236655344,0.06433472192030194,0.022644711793166683,0.00861201239276412
0,independent,hermite,0.0030082102959420737,0.00281909248273838,0.0030082102959420737,0.012223755717491704,0.00861201239276412
0,independent,local,0.05587799196697431,0.047617924177152514,0.05587799196697431,0.05034153410036478,0.00861201239276412
0,independent,nystrom,0.0026086170053375634,0.0025275660148979646,0.0026086170053375634,0.01270340645732198,0.00861201239276412
0,independent,adaptive_hybrid_current,0.009196600026579384,0.006293711467502251,0.009196600026579384,0.013133685352101068,0.00861201239276412
3,development,anisotropic_chebyshev_d13,0.01996494575622169,0.017386485907120244,0.01996494575622169,0.02461271590797374,0.006706989332066074
3,development,anisotropic_chebyshev_d15,0.0381891793210487,0.03396569355432593,0.0381891793210487,0.03917480517504208,0.006706989332066074
3,development,anisotropic_chebyshev_d17,0.057728548038585535,0.04852491538636085,0.057728548038585535,0.03599771705252495,0.006706989332066074
3,development,anisotropic_chebyshev_d19,0.15063630899496966,0.14380512803909973,0.15063630899496966,0.13401731758270563,0.006706989332066074
3,development,anisotropic_chebyshev_d21,0.6267054368168538,0.6073740400573387,0.6267054368168538,0.4959012268716518,0.006706989332066074
3,development,anisotropic_chebyshev_d23,0.5865090042724014,0.5801115144705123,0.5865090042724014,0.5774741676802212,0.006706989332066074
3,development,hermite,0.07488609102319087,0.07156052216474204,0.07488609102319087,0.11474098656276205,0.006706989332066074
3,development,local,0.34700743597888023,0.3445541171162915,0.34700743597888023,0.73568650260441,0.006706989332066074
3,development,nystrom,0.02463697090468878,0.023199400922894586,0.02463697090468878,0.03118198511938726,0.006706989332066074
3,development,adaptive_hybrid_current,0.024235819602508694,0.021639818864736877,0.024235819602508694,0.03148497456156647,0.006706989332066074
3,independent,anisotropic_chebyshev_d13,0.025620899464641193,0.024850396480654836,0.025620899464641193,0.028345893942576306,0.006678078430818087
3,independent,anisotropic_chebyshev_d15,0.03303198730588581,0.02605262817270086,0.03303198730588581,0.031582843717921,0.006678078430818087
3,independent,anisotropic_chebyshev_d17,0.05545101064608594,0.05325241472671163,0.05545101064608594,0.042028845719091615,0.006678078430818087
3,independent,anisotropic_chebyshev_d19,0.13899339672595634,0.12172134218267616,0.13899339672595634,0.09389518108428029,0.006678078430818087
3,independent,anisotropic_chebyshev_d21,0.3944702222214988,0.3105767337164736,0.3944702222214988,0.21919038599880433,0.006678078430818087
3,independent,anisotropic_chebyshev_d23,0.41846193312246094,0.3938799805758504,0.41846193312246094,0.3119902721882957,0.006678078430818087
3,independent,hermite,0.06146220061466257,0.05876064269054197,0.06146220061466257,0.11305623664613418,0.006678078430818087
3,independent,local,0.34800344198749644,0.3341127370453396,0.34800344198749644,0.7452982172928181,0.006678078430818087
3,independent,nystrom,0.02256811027937135,0.0219929889119304,0.02256811027937135,0.0320632617116095,0.006678078430818087
3,independent,adaptive_hybrid_current,0.024334890820876573,0.022760155773066587,0.024334890820876573,0.03586007043681963,0.006678078430818087
6,development,anisotropic_chebyshev_d13,0.024001917395697944,0.023753440785892622,0.024001917395697944,0.023305227521087744,0.003909662073031801
6,development,anisotropic_chebyshev_d15,0.02174563187185919,0.021573700300117172,0.02174563187185919,0.01915322503158735,0.003909662073031801
6,development,anisotropic_chebyshev_d17,0.039747376666276216,0.030483101220661578,0.039747376666276216,0.013579261649215578,0.003909662073031801
6,development,anisotropic_chebyshev_d19,0.04385779547944226,0.03289000403823236,0.04385779547944226,0.01268746882900512,0.003909662073031801
6,development,anisotropic_chebyshev_d21,0.0317229992127851,0.02417353813178549,0.0317229992127851,0.016886692787034627,0.003909662073031801
6,development,anisotropic_chebyshev_d23,0.013141891535648476,0.01271237388980766,0.013141891535648476,0.012298697927198834,0.003909662073031801
6,development,hermite,0.31580461611881766,0.3078540524248522,0.31580461611881766,0.10541858004602644,0.003909662073031801
6,development,local,2.5284945259144527,2.366530893274594,2.5284945259144527,0.8414013290790386,0.003909662073031801
6,development,nystrom,0.08340882951986917,0.0708024043211594,0.08340882951986917,0.024408579305437703,0.003909662073031801
6,development,adaptive_hybrid_current,0.04795472819396679,0.035400223216788,0.04795472819396679,0.01320443222419901,0.003909662073031801
6,independent,anisotropic_chebyshev_d13,0.04340979168273868,0.04115358042057811,0.04340979168273868,0.0226211579617898,0.003839008048283173
6,independent,anisotropic_chebyshev_d15,0.03456401616590003,0.03287137741443664,0.03456401616590003,0.018694041899445415,0.003839008048283173
