step,time,max_rel,p99_rel,mae,max_abs
0,0.0,0.035154676548388726,0.033866934567037654,0.006532036751526956,0.026301632522415908
20,0.2,0.04418742430767715,0.04231058035541397,0.007050773307735909,0.03148578495681775
40,0.4,0.05288592937612336,0.050766859165569,0.006857512851644117,0.03464386935594277
60,0.6,0.019352565780638337,0.017525027492053365,0.002644378173751842,0.0165114433823792
80,0.8,0.005586779698632787,0.005122794376376721,0.0013904202473610215,0.013880933117713212
100,1.0,0.0,0.0,0.0,0.0
