variant,barrier_kind,monitoring,method,month,remaining_steps,train_states,train_paths_per_state,train_scenarios_used,validation_states,benchmark_paths_per_state,max_rel,p99_rel,p95_rel,mae,max_abs,median_noise_ratio,avg_train_stderr,avg_benchmark_stderr
down_out_discrete,down_out,discrete,pchip,0,12,121,82645,10000045,31,500000,0.0127184472903518,0.012190212436436972,0.009229316409710921,0.015052855213037288,0.030999253114238456,0.518789875467491,0.06780793177511246,0.02766045404080841
down_out_discrete,down_out,discrete,akima,0,12,121,82645,10000045,31,500000,0.012690732418679624,0.012175774347092903,0.009311356360128854,0.015045555391857287,0.031114277922603684,0.5174359372275424,0.06780793177511246,0.02766045404080841
down_out_discrete,down_out,discrete,chebyshev,0,12,121,82645,10000045,31,500000,0.013528359300488893,0.012307224648150714,0.008317428678988527,0.015126930032878539,0.03211335625739764,0.5429238853275022,0.06780793177511246,0.02766045404080841
down_out_discrete,down_out,discrete,bernstein,0,12,121,82645,10000045,31,500000,0.013512885710172822,0.012301543001110794,0.00833565395668914,0.015119593149988625,0.03185399016464352,0.5224846557031408,0.06780793177511246,0.02766045404080841
down_out_continuous,down_out,continuous,pchip,0,12,121,82645,10000045,31,500000,0.011161088697170612,0.010215875995995514,0.005814551281671903,0.013956026580123468,0.03157757865167987,0.45058673932648785,0.06661911050348336,0.02718303595356394
down_out_continuous,down_out,continuous,akima,0,12,121,82645,10000045,31,500000,0.006995628858678011,0.005984249589491001,0.0034854977364493387,0.013951290957521274,0.031547491542651684,0.43911810178303445,0.06661911050348336,0.02718303595356394
down_out_continuous,down_out,continuous,chebyshev,0,12,121,82645,10000045,31,500000,0.4218063124716233,0.37454194994307705,0.23762701002199216,1.3094236642621757,3.105077077713972,39.83734980583232,0.06661911050348336,0.02718303595356394
down_out_continuous,down_out,continuous,bernstein,0,12,121,82645,10000045,31,500000,0.43230829759056805,0.38776930798869313,0.23487152830338692,0.8158559655302077,1.8700373664484573,26.915832065018176,0.06661911050348336,0.02718303595356394
down_out_discrete,down_out,discrete,pchip,3,9,121,82645,10000045,31,500000,0.004971584674353974,0.00465357255171948,0.003875925585365204,0.005204138352465575,0.02546246217924697,0.09319466786579532,0.05821192214294584,0.023669365402991135
down_out_discrete,down_out,discrete,akima,3,9,121,82645,10000045,31,500000,0.004992603228944798,0.004712298139161765,0.003950078466094795,0.005198086632863885,0.025473051445214168,0.09317571366076992,0.05821192214294584,0.023669365402991135
down_out_discrete,down_out,discrete,chebyshev,3,9,121,82645,10000045,31,500000,0.004106429733970358,0.0040877499920081405,0.003965837987806559,0.006611456386659806,0.026814099391520685,0.22639194628526507,0.05821192214294584,0.023669365402991135
down_out_discrete,down_out,discrete,bernstein,3,9,121,82645,10000045,31,500000,0.004066104113960674,0.004062938982304172,0.003937718158428535,0.00562499370275851,0.02688961705888282,0.15711983842874191,0.05821192214294584,0.023669365402991135
down_out_continuous,down_out,continuous,pchip,3,9,121,82645,10000045,31,500000,0.0038351180720726363,0.0038120316163760995,0.0035014597384451654,0.0051670912038053966,0.02541766015067104,0.09319466786579532,0.05745077561095014,0.023363991486985765
down_out_continuous,down_out,continuous,akima,3,9,121,82645,10000045,31,500000,0.00902827626792892,0.0076017388460477425,0.004054477843610772,0.0051651513142597525,0.025422207265361152,0.09317571366076992,0.05745077561095014,0.023363991486985765
down_out_continuous,down_out,continuous,chebyshev,3,9,121,82645,10000045,31,500000,0.4151117968853539,0.37117195302589145,0.24413795984224274,1.2652659591727136,3.0656180943345532,41.066776984496634,0.05745077561095014,0.023363991486985765
down_out_continuous,down_out,continuous,bernstein,3,9,121,82645,10000045,31,500000,0.425721881580728,0.3844876208765257,0.24132985366797083,0.7802257751931428,1.8713053670252435,29.121638264956704,0.05745077561095014,0.023363991486985765
down_out_discrete,down_out,discrete,pchip,6,6,121,82645,10000045,31,500000,0.020871708742046458,0.020579590297616388,0.01913648989907423,0.007452793086478461,0.027373841787739828,0.18272317886384248,0.0468333585839371,0.01902268614554256
down_out_discrete,down_out,discrete,akima,6,6,121,82645,10000045,31,500000,0.02086664471341502,0.020559035992592792,0.01908701065169912,0.007444038141902245,0.027352688277209936,0.18308838863034252,0.0468333585839371,0.01902268614554256
down_out_discrete,down_out,discrete,chebyshev,6,6,121,82645,10000045,31,500000,0.02102357770343674,0.02094735746633361,0.019630901697693888,0.008159781377217698,0.027586019130442452,0.38419356315618136,0.0468333585839371,0.01902268614554256
down_out_discrete,down_out,discrete,bernstein,6,6,121,82645,10000045,31,500000,0.020994016523436312,0.02091378125844752,0.019629217859371398,0.007726857023628635,0.027634563609946206,0.3263769354364149,0.0468333585839371,0.01902268614554256
down_out_continuous,down_out,continuous,pchip,6,6,121,82645,10000045,31,500000,0.020539052815766644,0.019661950502157362,0.016784640521709318,0.007184646639883333,0.027364153249504142,0.18272317886384248,0.046483487592967984,0.018883425223217124
down_out_continuous,down_out,continuous,akima,6,6,121,82645,10000045,31,500000,0.019530119369922147,0.01891032018583282,0.016727242856358907,0.007178781831094518,0.02734229268522803,0.18308838863034252,0.046483487592967984,0.018883425223217124
down_out_continuous,down_out,continuous,chebyshev,6,6,121,82645,10000045,31,500000,0.4291675402668154,0.3742336161053702,0.21996090109924588,1.2224932325213038,3.0539398380608276,47.18674863854283,0.046483487592967984,0.018883425223217124
down_out_continuous,down_out,continuous,bernstein,6,6,121,82645,10000045,31,500000,0.4395222107053226,0.3872654951977952,0.21724516440391933,0.7457424401521128,1.863934044031538,27.667823291643785,0.046483487592967984,0.018883425223217124
down_out_discrete,down_out,discrete,pchip,9,3,121,82645,10000045,31,500000,0.022531275030364915,0.020057803438096454,0.012841152180294644,0.0007378907386701617,0.003136943579615803,0.03439885321719542,0.03239140994808839,0.013161746044287841
down_out_discrete,down_out,discrete,akima,9,3,121,82645,10000045,31,500000,0.022530963011683797,0.020059219486342886,0.01285624291186524,0.0007402814123010328,0.003120565136928155,0.03222362183327503,0.03239140994808839,0.013161746044287841
down_out_discrete,down_out,discrete,chebyshev,9,3,121,82645,10000045,31,500000,0.0222492649578924,0.019878881250201458,0.012105714752362332,0.007252075266229356,0.019507342184809318,0.4758768792466308,0.03239140994808839,0.013161746044287841
down_out_discrete,down_out,discrete,bernstein,9,3,121,82645,10000045,31,500000,0.022168659485076892,0.01985267899960921,0.012103047521513487,0.004095675425683126,0.011436692007421811,0.3159274056597586,0.03239140994808839,0.013161746044287841
down_out_continuous,down_out,continuous,pchip,9,3,121,82645,10000045,31,500000,0.025309936939876765,0.02510876480245478,0.02052577330960965,0.0007472595537430485,0.0031369435578785243,0.03274101646127329,0.03233559975191186,0.013140338629864702
down_out_continuous,down_out,continuous,akima,9,3,121,82645,10000045,31,500000,0.025175619905644427,0.02504241325450252,0.020565148739046905,0.0007496231293325035,0.003120484299723225,0.031586283118578064,0.03233559975191186,0.013140338629864702
down_out_continuous,down_out,continuous,chebyshev,9,3,121,82645,10000045,31,500000,0.2976451696147459,0.2600191821159862,0.15198620898995815,1.1745975910466941,3.0387790688733247,60.9341447961858,0.03233559975191186,0.013140338629864702
down_out_continuous,down_out,continuous,bernstein,9,3,121,82645,10000045,31,500000,0.31766181994833853,0.2689091941854203,0.1488738337484418,0.7079118104900468,1.840494130203588,35.27577024686887,0.03233559975191186,0.013140338629864702
down_out_discrete,down_out,discrete,pchip,12,0,121,82645,10000045,31,500000,0.007100663062927675,0.0049930932501473305,4.314994253571446e-05,0.00046555625428744375,0.013675051768125224,1806915.207680504,0.0,0.0
down_out_discrete,down_out,discrete,akima,12,0,121,82645,10000045,31,500000,0.01974026668720289,0.013965924604158146,0.00028340136472798465,0.0013762050616504566,0.03801745928116107,2804956.8783217184,0.0,0.0
down_out_discrete,down_out,discrete,chebyshev,12,0,121,82645,10000045,31,500000,3.202420404229808,2.627301097762682,1.1413909631332517,5.385453495443902,35.74687237474324,2288779727468.6504,0.0,0.0
down_out_discrete,down_out,discrete,bernstein,12,0,121,82645,10000045,31,500000,3.7260507701290475,2.99515001334735,1.1437151272249575,6.98128573069619,41.59187256166967,3915621986440.4136,0.0,0.0
down_out_continuous,down_out,continuous,pchip,12,0,121,82645,10000045,31,500000,0.007100663062927675,0.0049930932501473305,4.314994253571446e-05,0.00046555625428744375,0.013675051768125224,1806915.207680504,0.0,0.0
down_out_continuous,down_out,continuous,akima,12,0,121,82645,10000045,31,500000,0.01974026668720289,0.013965924604158146,0.00028340136472798465,0.0013762050616504566,0.03801745928116107,2804956.8783217184,0.0,0.0
down_out_continuous,down_out,continuous,chebyshev,12,0,121,82645,10000045,31,500000,3.202420404229808,2.627301097762682,1.1413909631332517,5.385453495443902,35.74687237474324,2288779727468.6504,0.0,0.0
down_out_continuous,down_out,continuous,bernstein,12,0,121,82645,10000045,31,500000,3.7260507701290475,2.99515001334735,1.1437151272249575,6.98128573069619,41.59187256166967,3915621986440.4136,0.0,0.0
up_out_discrete,up_out,discrete,pchip,0,12,121,82645,10000045,31,500000,0.07489282323487399,0.06960867902334773,0.05326784201277807,0.005588332427233685,0.020726287724382342,1.363223014479166,0.013655340521816533,0.005564631268136348
up_out_discrete,up_out,discrete,akima,0,12,121,82645,10000045,31,500000,0.07490782959271831,0.06954976811218763,0.053193599285159994,0.005755724815889815,0.020726287724382342,1.3785346089064576,0.013655340521816533,0.005564631268136348
up_out_discrete,up_out,discrete,chebyshev,0,12,121,82645,10000045,31,500000,0.08113715763556377,0.07514224817903752,0.05397346626864323,0.014210265736667942,0.044676997651588835,2.59231263844648,0.013655340521816533,0.005564631268136348
up_out_discrete,up_out,discrete,bernstein,0,12,121,82645,10000045,31,500000,0.08157807227981428,0.07628758241326979,0.055137517833734134,0.009675804835851527,0.036538644169398005,1.8467162743597947,0.013655340521816533,0.005564631268136348
up_out_continuous,up_out,continuous,pchip,0,12,121,82645,10000045,31,500000,0.07245962455137206,0.06745919682433318,0.052472921057828956,0.00431153017262796,0.021076249760828558,1.4423997659710295,0.009464950378526826,0.003880543244017371
up_out_continuous,up_out,continuous,akima,0,12,121,82645,10000045,31,500000,0.07247463028211848,0.06740060429847981,0.052399209703603095,0.004304691787985592,0.021076249760828558,1.4451084153367653,0.009464950378526826,0.003880543244017371
up_out_continuous,up_out,continuous,chebyshev,0,12,121,82645,10000045,31,500000,0.4215003619736175,0.377484641007628,0.2601103710217688,0.12615620703678068,0.4584800279213628,12.34873861086775,0.009464950378526826,0.003880543244017371
