variant,variant_description,method,month,remaining_periods,state_dimension,train_states,train_paths_per_state,train_scenarios_used,validation_states,benchmark_paths_per_state,steps_per_period,max_rel,p99_rel,p95_rel,mae,max_abs,median_noise_ratio,avg_train_stderr,avg_benchmark_stderr
basket_return,Clip the equal-weight basket return,local_summary_quadratic,0,12,7,2001,4998,10000998,31,500000,2,0.025752089251792697,0.02364388092586223,0.017426334193588314,0.05660799313906392,0.20153884809810751,5.7009659250730955,0.0800865989083263,0.008032326613465719
basket_return,Clip the equal-weight basket return,local_full_quadratic,0,12,7,2001,4998,10000998,31,500000,2,0.020779121942690586,0.019738819539392913,0.016511250741187387,0.06197245339475142,0.16938588223954998,7.265120762761257,0.0800865989083263,0.008032326613465719
basket_return,Clip the equal-weight basket return,sparse_chebyshev,0,12,7,2001,4998,10000998,31,500000,2,0.0614727612347063,0.04476645813115407,0.004984453360560213,0.02627809092686063,0.420626510229833,1.4729246286643736,0.0800865989083263,0.008032326613465719
basket_return,Clip the equal-weight basket return,adaptive_blend,0,12,7,2001,4998,10000998,31,500000,2,0.040625023153318285,0.031248402517900505,0.008381799351541737,0.03514360356648495,0.277976153564075,2.96298462319469,0.0800865989083263,0.008032326613465719
average_clipped,Average the three individually clipped returns,local_summary_quadratic,0,12,7,2001,4998,10000998,31,500000,2,0.011004938403324479,0.010594208279133236,0.009331175368663958,0.0349341817851002,0.08909394268720483,4.468802241660106,0.0688046994818355,0.006890947931565008
average_clipped,Average the three individually clipped returns,local_full_quadratic,0,12,7,2001,4998,10000998,31,500000,2,0.016915823470306034,0.016150399193341908,0.012812155557476453,0.04307648703866826,0.14294023700441194,3.9097585177942635,0.0688046994818355,0.006890947931565008
average_clipped,Average the three individually clipped returns,sparse_chebyshev,0,12,7,2001,4998,10000998,31,500000,2,0.01090600137693118,0.009455528675361622,0.005362344565289801,0.01931777139064564,0.08098315734514294,2.0937509720332934,0.0688046994818355,0.006890947931565008
average_clipped,Average the three individually clipped returns,adaptive_blend,0,12,7,2001,4998,10000998,31,500000,2,0.004924072184976908,0.0049018044637614885,0.004807203115104243,0.017249527240771785,0.04200676131046599,1.9238206931213693,0.0688046994818355,0.006890947931565008
worst_of,Clip the worst-performing underlying return,local_summary_quadratic,0,12,7,2001,4998,10000998,31,500000,2,0.08996523400787898,0.08117891028939032,0.059017044325358495,0.005104856163447535,0.018633824564563667,4.91880751149769,0.008702766058199219,0.0008708682958166315
worst_of,Clip the worst-performing underlying return,local_full_quadratic,0,12,7,2001,4998,10000998,31,500000,2,0.13997751348935808,0.1330389442815854,0.10807391267901507,0.006857220055517594,0.028992493134804842,5.873565061843966,0.008702766058199219,0.0008708682958166315
