variant,month,validation_design,method,max_rel,p99_rel,meaningful_max_rel,mae
basket_return,0,development,normal_moment_baseline,0.10728898158946834,0.0966588259609611,0.10728898158946834,0.23905747061296087
basket_return,0,development,residual_hermite_2001,0.008195689572620566,0.007421768151057204,0.008195689572620566,0.01798469511816159
basket_return,0,development,residual_hermite_5001,0.005677073207005658,0.005450368270039892,0.005677073207005658,0.014945673191154878
basket_return,0,development,residual_local_5001,0.010690539234177779,0.01056881629452971,0.010690539234177779,0.029178345805259135
basket_return,0,development,residual_nystrom_5001,0.0077453084657299175,0.006640073190578701,0.0077453084657299175,0.014279330425843886
basket_return,0,development,direct_hermite_2001,0.007734524123147978,0.007044399329205412,0.007734524123147978,0.017695352564900797
basket_return,0,development,direct_hermite_5001,0.0055381318841893025,0.005466670291845624,0.0055381318841893025,0.015138584981284748
basket_return,0,development,direct_local_5001,0.024264749714690666,0.019654803613044683,0.024264749714690666,0.03248265486863406
basket_return,0,development,direct_nystrom_5001,0.020342661767422887,0.016078201736656007,0.020342661767422887,0.01690358392004751
basket_return,0,development,weighted_sparse_chebyshev_2001,0.06239528392858768,0.04541069795226938,0.06239528392858768,0.026761295224490524
basket_return,0,development,weighted_sparse_chebyshev_5001,0.046267965961490534,0.03466480679083567,0.046267965961490534,0.023505583912478277
basket_return,0,development,sparse_chebyshev_2001,0.0614727612347063,0.04476645813115407,0.0614727612347063,0.02627809092686063
basket_return,0,development,residual_ensemble_5001,0.00775077248294233,0.00701827367838241,0.00775077248294233,0.01618228262316067
basket_return,0,development,direct_ensemble_5001,0.016621781027320176,0.013365902061153906,0.016621781027320176,0.017318624826976756
basket_return,0,independent,normal_moment_baseline,0.0725817666223822,0.0702134843772507,0.0725817666223822,0.22444270710628314
basket_return,0,independent,residual_hermite_2001,0.005926972649415965,0.005925371155709549,0.005926972649415965,0.01430736743668128
basket_return,0,independent,residual_hermite_5001,0.0057975242196049055,0.005533194932106018,0.0057975242196049055,0.01533752051098869
basket_return,0,independent,residual_local_5001,0.01329459686330089,0.012564492890951563,0.01329459686330089,0.023674281153302397
basket_return,0,independent,residual_nystrom_5001,0.006758892918497907,0.005944074650978667,0.006758892918497907,0.013718398723671926
basket_return,0,independent,direct_hermite_2001,0.006892690752124934,0.006750775275446415,0.006892690752124934,0.014813730911042272
basket_return,0,independent,direct_hermite_5001,0.006162098393786039,0.005650553854527321,0.006162098393786039,0.014539696101083837
