case_id,product,method,max_rel,p99_rel,p95_rel,mean_rel,meaningful_max_rel,mae,max_abs,overshoot_rate,max_scaled_overshoot
european_00_tau_0.15,european,linear,0.007242893808080394,0.00714613992996542,0.006356163517719917,0.0016951444503161,0.0056756620563911085,0.0005206218179133986,0.0023433294568864227,0.0,0.0
european_00_tau_0.15,european,pchip,0.007499526711104617,0.007315308386342715,0.006634579438682751,0.0017363439774300022,0.005786121985641469,0.00042823299392794533,0.0020823254102551036,0.0,0.0
european_00_tau_0.15,european,akima,0.007500143589487265,0.007315622530986814,0.006634343881170041,0.001736355131141676,0.005786357479575613,0.00042827268016169833,0.002099800508411853,0.0,0.0
european_00_tau_0.15,european,makima,0.007498153014434196,0.0073146251062112975,0.00663530826514847,0.0017363487333675622,0.005785393621292346,0.0004282471689903152,0.002083426011856737,0.0,0.0
european_00_tau_0.15,european,natural_cubic_interpolation,0.007500672461284603,0.007315880696305947,0.00663400184016831,0.0017363934720206122,0.005786699253082285,0.000428618754211183,0.002091968703606284,0.0,4.34918660782138e-12
european_00_tau_0.15,european,bspline_regression,0.0074898481325332425,0.0073065655248834545,0.006638402402851124,0.0017371332993399153,0.005785818393660005,0.00042910924606611676,0.001922247441735303,0.05236907730673317,1.965345198748825e-05
european_00_tau_0.15,european,natural_cubic_regression,0.007511922740996677,0.00733892930596783,0.006659842047467336,0.0017502221654097678,0.005784022566923872,0.0005393778570788687,0.003967730780827239,0.04488778054862843,2.21440926390799e-05
european_00_tau_0.15,european,cubic_smoothing_spline,0.007500672461284603,0.007315880696305947,0.00663400184016831,0.0017363934720206122,0.005786699253082285,0.000428618754211183,0.002091968703606284,0.0,4.34918660782138e-12
european_00_tau_0.15,european,pspline,0.007505037827658377,0.007308951396223112,0.006642213894514186,0.0017373101883128386,0.005785952454566527,0.0004292459827614961,0.0018880493720154767,0.05486284289276808,2.004389176784385e-05
european_00_tau_0.15,european,adaptive_pspline,0.007505023490641984,0.007308975440141791,0.0066421741771035755,0.0017373104417780518,0.005785960609042786,0.00042924687783367987,0.001888051387535894,0.05486284289276808,2.0042394167142423e-05
european_00_tau_0.15,european,free_knot_spline,0.007493243310870282,0.007315127063139163,0.006635182046776726,0.001754280070347945,0.0057856520951564735,0.0005301538882962301,0.0019379946349271648,0.04987531172069826,1.9209407767240826e-05
european_00_tau_0.15,european,loess,0.007499291583932953,0.007313889341840605,0.006631817547158465,0.0017361982575248695,0.005784164448920061,0.0004345184829040262,0.0019403302599654282,0.04239401496259352,1.0425591865526867e-05
european_00_tau_0.15,european,matern_gp,0.0075006707306874325,0.007315875787745248,0.006633995506579869,0.0017368440824638762,0.005786691335831354,0.00043209540699849384,0.002091075196157366,0.012468827930174564,1.9921030014262344e-08
european_00_tau_0.15,european,chebyshev,0.0074404647408712245,0.0072706489404096445,0.006674043684116724,0.0017385881570236193,0.005822632272919477,0.00045361985137774635,0.0018997457585980815,0.04987531172069826,2.1269254039047813e-05
european_00_tau_0.15,european,piecewise_chebyshev,0.007536548749996164,0.0073468692537879176,0.006661017223726952,0.0017354782999256272,0.0057424685061156005,0.00046077841126495505,0.001851566884443434,0.04987531172069826,3.125612971320593e-05
european_00_tau_0.15,european,bernstein,0.007442790494337605,0.007260827405153975,0.0066516605912336135,0.001736126897310873,0.005833184689393102,0.0004361323596052522,0.0018909875778174712,0.05236907730673317,2.08164862233199e-05
european_00_tau_0.15,european,floater_hormann,0.00750128045930088,0.007314973854847944,0.006633317423077724,0.0017363350975560872,0.005787178740391556,0.00042819194181559786,0.002098842369113285,0.0,0.0
european_00_tau_0.50,european,linear,0.00770097740681059,0.007614059765979267,0.006859931591146291,0.001904021684200438,0.006260199924847904,0.0010266101652124551,0.004365679365171182,0.0,0.0
european_00_tau_0.50,european,pchip,0.007960804915610976,0.007831358581384215,0.0071476366589915625,0.0019510481743933825,0.006502641537129697,0.0008470913064299269,0.003970914525818436,0.0,0.0
european_00_tau_0.50,european,akima,0.00796145740117251,0.007831837108928276,0.007147371430933167,0.0019510591461928363,0.0065026682192500735,0.0008471630390189808,0.003970914525818436,0.0,0.0
european_00_tau_0.50,european,makima,0.00795946813993552,0.007830346283060131,0.0071483485370219015,0.0019510534024383254,0.006502653957372886,0.0008471212380355876,0.003970914525818436,0.0,0.0
european_00_tau_0.50,european,natural_cubic_interpolation,0.007961936854788831,0.007832210667919805,0.007147060897821912,0.0019510957993356757,0.006502641882563694,0.0008478190520952488,0.0039709142612465165,0.0,8.428962661898677e-12
european_00_tau_0.50,european,bspline_regression,0.007980181057355573,0.00784079802013677,0.007144953807673738,0.00195192109811376,0.006504101612972842,0.0008485107081274279,0.0036870687848140626,0.05486284289276808,2.0628230863634416e-05
european_00_tau_0.50,european,natural_cubic_regression,0.007921050287673544,0.007800015854605817,0.007176282150041127,0.0019621173767155014,0.0065254357848807745,0.0010306297187073472,0.007646429686852585,0.04488778054862843,2.711756117858102e-05
european_00_tau_0.50,european,cubic_smoothing_spline,0.007961936854788831,0.007832210667919805,0.007147060897821912,0.0019510957993356757,0.006502641882563694,0.0008478190520952488,0.0039709142612465165,0.0,8.428962661898677e-12
european_00_tau_0.50,european,pspline,0.007980482974699915,0.007854800653054937,0.007135108414870355,0.0019521281589960917,0.006508680045435998,0.000848889022982549,0.003576618236178053,0.05486284289276808,2.1548296954119007e-05
european_00_tau_0.50,european,adaptive_pspline,0.007980428946416103,0.007854733710042515,0.0071351434138441396,0.001952128687972941,0.006508662600692163,0.0008488922284315013,0.0035766157356165174,0.05486284289276808,2.1547523840955658e-05
european_00_tau_0.50,european,free_knot_spline,0.007964324145172006,0.007826466858638283,0.007151198035219387,0.0019670106571393676,0.0065022328734873555,0.0010116198529688308,0.0036456555056449957,0.04987531172069826,1.8795187072288523e-05
european_00_tau_0.50,european,loess,0.007960683504142517,0.007830951891070286,0.007145060619610246,0.0019494993992817523,0.006500259474943083,0.000842492569235473,0.003680823937540101,0.04239401496259352,1.1399114679140133e-05
european_00_tau_0.50,european,matern_gp,0.007961931875124279,0.007832207177286096,0.0071470511062268005,0.001951512872271437,0.006502630076802137,0.0008540832542727266,0.003969267531760856,0.014962593516209476,5.247132913571648e-08
european_00_tau_0.50,european,chebyshev,0.007931260698451665,0.0077843189065068255,0.007119940839645439,0.0019513856831031926,0.006548481773168874,0.0008698819929977093,0.0036111691957239067,0.04987531172069826,2.6605555680436595e-05
european_00_tau_0.50,european,piecewise_chebyshev,0.007971171758038206,0.007850555286796797,0.00717465301003667,0.0019480672264728378,0.00648423212847624,0.0008816684996034247,0.0035143584905523717,0.04738154613466334,3.374161803691556e-05
european_00_tau_0.50,european,bernstein,0.007958218891554136,0.0078060850403440084,0.007102333835090277,0.0019502930813469232,0.0065316751192666285,0.0008508436324312282,0.0035899005888495594,0.05236907730673317,2.6255256389615117e-05
european_00_tau_0.50,european,floater_hormann,0.007959911202914829,0.007833237121573083,0.007149744132356415,0.0019510551855144655,0.0065051534277403705,0.0008470650289508892,0.003970914525818436,0.0,0.0
european_00_tau_0.85,european,linear,0.008143152963672264,0.007712770201899327,0.007148045908499795,0.0019962875470873106,0.006770407939311325,0.001409009434978476,0.005888706981890923,0.0,0.0
european_00_tau_0.85,european,pchip,0.008143152963672264,0.008017656861968949,0.007348544937761718,0.002046134858542516,0.006770407939311325,0.0011726984774052657,0.005381476950684139,0.0,0.0
european_00_tau_0.85,european,akima,0.008143152963672264,0.008017172651965193,0.007348857213025997,0.0020461497852279466,0.006770407939311325,0.0011728029331778118,0.005381476950684139,0.0,0.0
european_00_tau_0.85,european,makima,0.008143152963672264,0.008018660783604048,0.0073478658453285835,0.0020461471820304483,0.006770407939311325,0.0011727522208517583,0.005381476950684139,0.0,0.0
european_00_tau_0.85,european,natural_cubic_interpolation,0.008143152963568318,0.008016808723689478,0.007349113670717744,0.0020461779915959826,0.006770407939213775,0.001173660849932273,0.005381476278869979,0.0,1.638811973359192e-11
european_00_tau_0.85,european,bspline_regression,0.0081635553899424,0.008036747166804605,0.007339688402679194,0.002046959850191631,0.006776327151184517,0.0011744682049711149,0.004975375951902894,0.057356608478802994,2.008710624821888e-05
european_00_tau_0.85,european,natural_cubic_regression,0.008077447862669876,0.007967632369889895,0.0073686358681018,0.002055532686906018,0.00679939539409964,0.0013939087942048925,0.010335690983701795,0.04738154613466334,3.0984888408869894e-05
european_00_tau_0.85,european,cubic_smoothing_spline,0.008143152963568318,0.008016808723689478,0.007349113670717744,0.0020461779915959826,0.006770407939213775,0.001173660849932273,0.005381476278869979,0.0,1.638811973359192e-11
european_00_tau_0.85,european,pspline,0.008139902439152422,0.008031567527994013,0.007341394603355396,0.002047160095497864,0.006769592066038767,0.0011750781877059874,0.00480697885465009,0.05486284289276808,2.1336046130199175e-05
european_00_tau_0.85,european,adaptive_pspline,0.00813991304384676,0.008031525839145012,0.007341417774425527,0.002047160905624899,0.006769592903018078,0.001175082310184841,0.004806970869645433,0.05486284289276808,2.133566549712523e-05
european_00_tau_0.85,european,free_knot_spline,0.008156664583098668,0.008022374277376936,0.007347703784669508,0.0020602912869981563,0.006773282842719698,0.0013609366579884164,0.004853724521405756,0.04738154613466334,1.899664895809693e-05
european_00_tau_0.85,european,loess,0.00814183126800281,0.008015157067329174,0.007347134669180648,0.002043977159023131,0.006768673344381568,0.0011565708797567527,0.004920587585120373,0.04239401496259352,1.4517746966220033e-05
european_00_tau_0.85,european,matern_gp,0.008143151296711499,0.008016806210249161,0.0073491043272658155,0.0020465439169614114,0.006770405104946152,0.001181190931721173,0.005377304232044633,0.014962593516209476,1.0178853903760868e-07
european_00_tau_0.85,european,chebyshev,0.008148278233849981,0.007998134540973003,0.007305358361306413,0.002045358978885937,0.0067890096126460055,0.0011808265525542934,0.004839029393454375,0.04987531172069826,3.043232126023357e-05
european_00_tau_0.85,european,piecewise_chebyshev,0.008123518612401301,0.00801296035006247,0.007386391015896187,0.0020411891432159106,0.006777091275747514,0.0011912849134040509,0.0047039055710982325,0.04738154613466334,3.7723993413217475e-05
european_00_tau_0.85,european,bernstein,0.008176266804110283,0.008025425128148465,0.007327138831919253,0.00204515027556288,0.006767053271959815,0.001168687630014409,0.00480638823380275,0.05236907730673317,3.0145573677906327e-05
european_00_tau_0.85,european,floater_hormann,0.008143152963672264,0.008018222409551383,0.007345385951154355,0.002046162734444976,0.006770407939311325,0.001172749369130858,0.005381476950684139,0.0,0.0
european_01_tau_0.15,european,linear,0.003784549241679419,0.003605914358845977,0.0032556930830255197,0.0008871780488608739,0.0030344327714247393,0.001587115636588163,0.00846818058499288,0.0,0.0
european_01_tau_0.15,european,pchip,0.003955095310916025,0.003871573045818849,0.0035382306238930703,0.00101792726588409,0.0032351385802704886,0.0020984373469259,0.008494027801283721,0.0,0.0
european_01_tau_0.15,european,akima,0.003954769550921669,0.00387091637444608,0.0035382306238930703,0.0010179316709947386,0.003235645355932788,0.0020982882148836025,0.008511989877712622,0.0,0.0
european_01_tau_0.15,european,makima,0.003955751208759319,0.003872877569341399,0.0035382306238930703,0.0010179214476874745,0.003233943523792628,0.0020983596804044096,0.008495706982486695,0.0,0.0
european_01_tau_0.15,european,natural_cubic_interpolation,0.003954538216250109,0.003870462188987723,0.003538230623815066,0.0010178713454492457,0.003236125103607983,0.002096732744351747,0.008502828521850248,0.0,4.190936624942047e-12
european_01_tau_0.15,european,bspline_regression,0.003948629799818231,0.0038711937421561197,0.0035377016189887603,0.0010179163956043195,0.0032349313057723657,0.0020982741763348567,0.008566451653464924,0.05236907730673317,6.711989184880474e-06
european_01_tau_0.15,european,natural_cubic_regression,0.003946279863148299,0.0038783085671230473,0.003540040203560481,0.001029990452534466,0.0032501168321626586,0.002455371084097943,0.014845366377507219,0.04987531172069826,2.1409226569529114e-05
european_01_tau_0.15,european,cubic_smoothing_spline,0.003954538216250109,0.003870462188987723,0.003538230623815066,0.0010178713454492457,0.003236125103607983,0.002096732744351747,0.008502828521850248,0.0,4.190936624942047e-12
european_01_tau_0.15,european,pspline,0.003950449376979972,0.0038674977682255913,0.003539706942736058,0.0010179213053944927,0.003235057792758297,0.0020982735679480873,0.008471118566498959,0.04239401496259352,7.230724472460385e-06
