method,detail,time,max_rel,p99_rel,mae,max_abs
log Chebyshev,"spot, degree=18",0.0046541796,0.0035102902,0.0062176286,0.0790491324
log polynomial,"logm, degree=11",0.0047419001,0.0027553212,0.0036429855,0.0329994490
log Chebyshev,"d1, degree=13",0.0047569665,0.0032858090,0.0051560257,0.0509472318
log Chebyshev,"logm, degree=13",0.0047569665,0.0032858090,0.0051560257,0.0509472318
log B-spline,"logm, knots=6",0.0048303534,0.0027085795,0.0036629696,0.0271918810
log B-spline,"d1, knots=6",0.0048303534,0.0027085795,0.0036629696,0.0271918810
log Chebyshev,"spot, degree=22",0.0048413332,0.0040349552,0.0064507357,0.1594639978
log Chebyshev,"d1, degree=15",0.0048486016,0.0036591618,0.0052443173,0.0632405863
log Chebyshev,"logm, degree=15",0.0048486016,0.0036591618,0.0052443173,0.0632405863
log B-spline,"spot, knots=28",0.0050063420,0.0041421306,0.0060992475,0.0678002399
log LOESS,"logm, frac=0.22",0.0050548231,0.0038087995,0.0054608885,0.0876398648
log LOESS,"d1, frac=0.22",0.0050548482,0.0038089059,0.0054608947,0.0876403244
log Chebyshev,"spot, degree=15",0.0050890550,0.0035764035,0.0059276581,0.1052389608
log polynomial,"logm, degree=5",0.0051176825,0.0036209360,0.0255237846,0.3535620972
log B-spline,"d1, knots=16",0.0051264694,0.0041126070,0.0046742076,0.0562712283
log B-spline,"logm, knots=16",0.0051264694,0.0041126070,0.0046742076,0.0562712283
log Chebyshev,"d1, degree=5",0.0051355644,0.0036254804,0.0254755502,0.3535560839
log Chebyshev,"logm, degree=5",0.0051355644,0.0036254804,0.0254755502,0.3535560839
log polynomial,"d1, degree=5",0.0051355647,0.0036254816,0.0254755490,0.3535562990
log LOESS,"logm, frac=0.35",0.0052631957,0.0035078906,0.0216472808,0.4622778800
log LOESS,"d1, frac=0.35",0.0052631966,0.0035079133,0.0216473098,0.4622779647
log polynomial,"d1, degree=9",0.0053659831,0.0030682784,0.0071442412,0.1501874478
log Chebyshev,"d1, degree=9",0.0053659831,0.0030682783,0.0071442403,0.1501876926
log Chebyshev,"logm, degree=9",0.0053659831,0.0030682783,0.0071442403,0.1501876926
log Chebyshev,"d1, degree=18",0.0054633154,0.0040240386,0.0055456688,0.0554453616
log Chebyshev,"logm, degree=18",0.0054633154,0.0040240386,0.0055456688,0.0554453616
log polynomial,"d1, degree=11",0.0055788807,0.0035264780,0.0080737795,0.1442122217
log Chebyshev,"d1, degree=11",0.0055788813,0.0035264780,0.0080737820,0.1442125293
log Chebyshev,"logm, degree=11",0.0055788813,0.0035264780,0.0080737820,0.1442125293
log Chebyshev,"spot, degree=13",0.0055800631,0.0034365940,0.0089778169,0.1670517943
log B-spline,"logm, knots=10",0.0055956861,0.0042378419,0.0040026597,0.0586607293
log B-spline,"d1, knots=10",0.0055956861,0.0042378419,0.0040026597,0.0586607293
log LOESS,"spot, frac=0.22",0.0056762214,0.0039508386,0.0078469247,0.1530252011
log Chebyshev,"d1, degree=22",0.0057353615,0.0043273950,0.0063241726,0.1489805266
log Chebyshev,"logm, degree=22",0.0057353615,0.0043273950,0.0063241726,0.1489805266
log B-spline,"spot, knots=20",0.0057735505,0.0040722079,0.0049010130,0.0625527485
log Chebyshev,"spot, degree=11",0.0057848112,0.0028843315,0.0075411975,0.1014252007
log B-spline,"spot, knots=10",0.0058773793,0.0028259082,0.0042632301,0.0575610467
log B-spline,"logm, knots=8",0.0060807599,0.0038622526,0.0048069356,0.0640242983
log B-spline,"d1, knots=8",0.0060807599,0.0038622526,0.0048069356,0.0640242983
log B-spline,"spot, knots=12",0.0060921116,0.0034297554,0.0045354835,0.0502332865
log B-spline,"spot, knots=16",0.0062950351,0.0043112172,0.0047943996,0.0548841783
log B-spline,"logm, knots=20",0.0074673618,0.0049726484,0.0047371134,0.0596798908
log B-spline,"d1, knots=20",0.0074673618,0.0049726484,0.0047371134,0.0596798908
log LOESS,"spot, frac=0.14",0.0082961227,0.0051741300,0.0048563093,0.0659976208
log LOESS,"d1, frac=0.14",0.0083507377,0.0051574122,0.0046569757,0.0572136191
log LOESS,"logm, frac=0.14",0.0083508597,0.0051568884,0.0046570271,0.0572148404
log B-spline,"d1, knots=28",0.0097771138,0.0061451199,0.0054319652,0.0670851685
log B-spline,"logm, knots=28",0.0097771138,0.0061451199,0.0054319652,0.0670851685
log natural cubic,"d1, knots=18",0.0114875599,0.0092905875,0.0051651737,0.0431759154
log natural cubic,"logm, knots=18",0.0123647336,0.0104943967,0.0047618399,0.0411932690
direct LOESS,"spot, frac=0.14",0.0126447992,0.0091331164,0.0046695352,0.0572351463
log LOESS,"spot, frac=0.35",0.0129819661,0.0091112614,0.0420193359,0.8136410181
direct LOESS,"logm, frac=0.14",0.0136436447,0.0102425431,0.0046594864,0.0563167230
direct LOESS,"d1, frac=0.14",0.0136439075,0.0102434785,0.0046593954,0.0563182593
direct B-spline,"spot, knots=28",0.0138297445,0.0081466999,0.0060556333,0.0652226523
direct B-spline,"d1, knots=28",0.0167509939,0.0099159968,0.0055562764,0.0646700498
direct B-spline,"logm, knots=28",0.0167509939,0.0099159968,0.0055562764,0.0646700498
direct B-spline,"logm, knots=20",0.0167607868,0.0086159613,0.0047989772,0.0576994082
direct B-spline,"d1, knots=20",0.0167607868,0.0086159613,0.0047989772,0.0576994082
direct B-spline,"d1, knots=16",0.0176451350,0.0127120339,0.0046491029,0.0546602344
direct B-spline,"logm, knots=16",0.0176451350,0.0127120339,0.0046491029,0.0546602344
direct B-spline,"d1, knots=12",0.0240669304,0.0153586030,0.0041520261,0.0500405914
direct B-spline,"logm, knots=12",0.0240669304,0.0153586030,0.0041520261,0.0500405914
direct natural cubic,"d1, knots=18",0.0248339606,0.0213938810,0.0049001820,0.0620883943
direct PCHIP,spot,0.0263266832,0.0134713929,0.0095001663,0.1022920548
direct PCHIP,logm,0.0263275253,0.0134656725,0.0094960549,0.1023016255
direct PCHIP,d1,0.0263275253,0.0134656725,0.0094960549,0.1023016255
log PCHIP,spot,0.0263682171,0.0135821006,0.0095102680,0.1023036365
log PCHIP,d1,0.0263718433,0.0135787128,0.0095061811,0.1023169413
log PCHIP,logm,0.0263718433,0.0135787128,0.0095061811,0.1023169413
log natural cubic,"logm, knots=14",0.0271606897,0.0225308825,0.0055216187,0.0572434831
direct B-spline,"d1, knots=10",0.0277500112,0.0226769302,0.0041394844,0.0516058806
direct B-spline,"logm, knots=10",0.0277500112,0.0226769302,0.0041394844,0.0516058806
log natural cubic,"d1, knots=14",0.0280314088,0.0234105645,0.0058028320,0.0564682249
direct B-spline,"spot, knots=20",0.0283682175,0.0142538825,0.0049949357,0.0625383554
direct B-spline,"spot, knots=16",0.0289773786,0.0193478845,0.0048662871,0.0546814191
direct natural cubic,"logm, knots=18",0.0297396358,0.0268476209,0.0044885312,0.0618770399
log polynomial,"spot, degree=5",0.0464138880,0.0118609243,0.1184177058,4.0766323419
log Chebyshev,"spot, degree=5",0.0464145024,0.0118636366,0.1184095593,4.0766863077
log natural cubic,"logm, knots=10",0.0471016500,0.0446510967,0.0114835529,0.0780927387
log natural cubic,"d1, knots=10",0.0472669716,0.0453281628,0.0127423298,0.0764729630
direct B-spline,"logm, knots=8",0.0484101266,0.0420281153,0.0046647418,0.0492846019
direct B-spline,"d1, knots=8",0.0484101266,0.0420281153,0.0046647418,0.0492846019
direct natural cubic,"d1, knots=14",0.0637353357,0.0504129051,0.0050309014,0.0688498980
direct natural cubic,"logm, knots=14",0.0639827290,0.0536677301,0.0049306618,0.0691101959
log natural cubic,"spot, knots=18",0.0959986077,0.0608190308,0.0054898380,0.0495003261
direct B-spline,"spot, knots=12",0.1050415952,0.0479930548,0.0046126256,0.0508120048
log natural cubic,"d1, knots=6",0.1348818452,0.1264250474,0.1272959355,0.5580194695
log natural cubic,"logm, knots=6",0.1348926302,0.1264756579,0.1268539627,0.5572207076
direct LOESS,"spot, frac=0.22",0.1386278965,0.0922728448,0.0041870037,0.0385730096
direct LOESS,"logm, frac=0.22",0.1460195304,0.0969846551,0.0041951372,0.0351719213
direct LOESS,"d1, frac=0.22",0.1460197220,0.0969849623,0.0041950949,0.0351722369
log natural cubic,"spot, knots=14",0.1536197540,0.1018545303,0.0137848974,0.1146680439
direct natural cubic,"d1, knots=10",0.1624304083,0.1399403115,0.0065275786,0.1177054906
direct natural cubic,"logm, knots=10",0.1628244501,0.1413788866,0.0065258461,0.1177252667
direct Chebyshev,"spot, degree=18",0.2092627656,0.0844981125,0.0045518812,0.0437273257
direct B-spline,"spot, knots=10",0.2258910847,0.1244131590,0.0045585670,0.0546996398
direct Chebyshev,"spot, degree=22",0.2428213108,0.1473096011,0.0049231628,0.0455551747
direct natural cubic,"spot, knots=18",0.2560940474,0.1524347996,0.0046320239,0.0528701825
direct Chebyshev,"d1, degree=15",0.2604721762,0.1313449990,0.0044105260,0.0494134538
direct Chebyshev,"logm, degree=15",0.2604721762,0.1313449990,0.0044105260,0.0494134538
direct B-spline,"logm, knots=6",0.2608697129,0.1898945386,0.0072209898,0.0261701917
direct B-spline,"d1, knots=6",0.2608697129,0.1898945386,0.0072209898,0.0261701917
log natural cubic,"spot, knots=10",0.2690077693,0.1895174090,0.0987290052,0.7239804571
direct Chebyshev,"d1, degree=22",0.2699263380,0.1210017339,0.0047754107,0.0465048091
direct Chebyshev,"logm, degree=22",0.2699263380,0.1210017339,0.0047754107,0.0465048091
direct Chebyshev,"spot, degree=15",0.3075121458,0.1122692407,0.0045403426,0.0546682792
direct Chebyshev,"spot, degree=13",0.3096792284,0.1428661179,0.0044028627,0.0505974271
direct Chebyshev,"d1, degree=13",0.3463094772,0.0955842699,0.0042363887,0.0484493918
direct Chebyshev,"logm, degree=13",0.3463094772,0.0955842699,0.0042363887,0.0484493918
direct polynomial,"d1, degree=11",0.4606495829,0.2347681780,0.0046081278,0.0563448116
direct Chebyshev,"logm, degree=11",0.4606513664,0.2347689887,0.0046081287,0.0563448506
direct Chebyshev,"d1, degree=11",0.4606513664,0.2347689887,0.0046081287,0.0563448506
direct Chebyshev,"d1, degree=18",0.4878342834,0.1635332390,0.0047042494,0.0481838782
direct Chebyshev,"logm, degree=18",0.4878342834,0.1635332390,0.0047042494,0.0481838782
direct Chebyshev,"spot, degree=11",0.5564332465,0.2908040344,0.0048145069,0.0472810250
direct natural cubic,"spot, knots=14",0.5910862673,0.3337667203,0.0048885970,0.0492894779
log natural cubic,"spot, knots=6",0.5931942885,0.4294178039,0.8224100073,5.2407536722
direct B-spline,"spot, knots=8",0.6622408177,0.2774773935,0.0056951592,0.0514558251
direct natural cubic,"logm, knots=6",0.7350333600,0.6665671277,0.0191297699,0.3087312340
direct natural cubic,"d1, knots=6",0.7354751212,0.6671341377,0.0191322734,0.3087167005
direct B-spline,"spot, knots=6",1.0866637067,0.5590583166,0.0089776589,0.0533150473
direct polynomial,"d1, degree=9",1.2160631836,0.9228585636,0.0084449987,0.0680351044
direct Chebyshev,"logm, degree=9",1.2160639716,0.9228593678,0.0084449990,0.0680351404
direct Chebyshev,"d1, degree=9",1.2160639716,0.9228593678,0.0084449990,0.0680351404
direct natural cubic,"spot, knots=10",1.8431051131,0.9947931180,0.0061121999,0.0368871013
direct LOESS,"spot, frac=0.35",2.0918209378,1.1986164863,0.0101480493,0.0412310885
direct LOESS,"logm, frac=0.35",2.1313156841,1.1483144753,0.0076939336,0.0295325397
direct LOESS,"d1, frac=0.35",2.1313159066,1.1483151058,0.0076939229,0.0295324325
log full Fourier,"spot, order=14",3.7696173893,1.9593297741,4.9936586037,231.2616938211
log full Fourier,"spot, order=11",3.7893529637,2.2257868437,6.0313320417,236.3342242108
log full Fourier,"spot, order=18",3.8201811322,1.5189175335,4.0052348113,218.0832662203
log full Fourier,"spot, order=9",3.8555302712,2.3945426540,6.9651641418,235.0211453978
log full Fourier,"spot, order=7",4.0044929833,2.5396767050,8.2173044320,230.5202319488
direct Chebyshev,"spot, degree=9",4.1714040877,0.9870785989,0.0093195636,0.0417140409
log full Fourier,"spot, order=5",4.3572034466,2.6360837380,10.0429879912,218.0450468215
direct natural cubic,"spot, knots=6",5.0845734920,3.6535744166,0.0314803279,0.2128212967
log full Fourier,"spot, order=3",5.4042324951,3.6500439265,12.9730846709,188.9292250325
direct Chebyshev,"spot, degree=7",5.8327171118,2.9661403284,0.0276662430,0.1681930508
direct polynomial,"spot, degree=11",5.9431867776,2.5207066351,0.0206971277,0.1134051316
direct polynomial,"spot, degree=9",5.9471843088,2.7398535447,0.0219203760,0.1140183155
direct polynomial,"spot, degree=7",5.9930717597,3.8761849394,0.0356374173,0.1680384295
direct polynomial,"logm, degree=9",6.3784332520,1.9320617845,0.0162181044,0.0637843325
direct polynomial,"logm, degree=11",6.3828259352,1.6604244191,0.0153052528,0.0638282594
direct polynomial,"d1, degree=7",9.6368429211,3.5410383973,0.0354808788,0.1555037943
direct Chebyshev,"logm, degree=7",9.6368451828,3.5410395107,0.0354808795,0.1555037521
direct Chebyshev,"d1, degree=7",9.6368451828,3.5410395107,0.0354808795,0.1555037521
direct polynomial,"logm, degree=7",9.6421282815,3.8595100148,0.0364870419,0.1553875030
log full Fourier,"d1, order=18",14.0637556921,1.6548877932,4.4038226336,151.5789056616
log full Fourier,"logm, order=18",14.0637556921,1.6548877932,4.4038226336,151.5789056616
log full Fourier,"d1, order=14",14.3626287230,1.8076473559,5.3492610101,156.1792735405
log full Fourier,"logm, order=14",14.3626287230,1.8076473559,5.3492610101,156.1792735405
log cosine Fourier,"spot, order=3",14.6879188087,8.5018734157,12.8864407049,87.8152007516
log full Fourier,"d1, order=11",14.7372863125,1.9473050174,6.3586850447,158.1319179668
log full Fourier,"logm, order=11",14.7372863125,1.9473050174,6.3586850447,158.1319179668
log full Fourier,"d1, order=9",15.1258679844,2.0097226503,7.2458851333,156.0227597474
log full Fourier,"logm, order=9",15.1258679844,2.0097226503,7.2458851333,156.0227597474
log full Fourier,"d1, order=7",15.7579697776,2.3776249006,8.4059199776,151.5687311017
log full Fourier,"logm, order=7",15.7579697776,2.3776249006,8.4059199776,151.5687311017
log full Fourier,"d1, order=5",16.9169621193,4.0595881897,10.0549531145,142.1070161491
log full Fourier,"logm, order=5",16.9169621193,4.0595881897,10.0549531145,142.1070161491
direct polynomial,"spot, degree=5",18.1009958274,15.7516721072,0.0919017799,0.4043437080
direct Chebyshev,"spot, degree=5",18.1043820525,15.7681832431,0.0918605295,0.4043517285
log cosine Fourier,"spot, order=14",19.1103506640,12.6804219490,12.8076398821,87.8243780001
log cosine Fourier,"spot, order=11",19.2066875728,12.6868262327,12.8076099825,87.8243993375
log cosine Fourier,"spot, order=9",19.4011039422,12.8538999203,12.8079846109,87.8241504511
log cosine Fourier,"spot, order=18",19.4653737518,12.5747397759,12.8078149337,87.8240226439
log full Fourier,"d1, order=3",19.7458938928,7.7779528680,12.5280586946,121.1479802415
log full Fourier,"logm, order=3",19.7458938928,7.7779528680,12.5280586946,121.1479802415
log cosine Fourier,"spot, order=5",19.8697797251,11.8832955698,12.8195423473,87.8216027933
log cosine Fourier,"spot, order=7",20.2895764499,13.0182089101,12.8099387395,87.8234470833
direct polynomial,"d1, degree=5",25.5597609288,21.0409246267,0.1554184110,0.6983267887
direct Chebyshev,"logm, degree=5",25.5597614633,21.0409250332,0.1554184112,0.6983268207
direct Chebyshev,"d1, degree=5",25.5597614633,21.0409250332,0.1554184112,0.6983268207
direct polynomial,"logm, degree=5",25.5598766824,21.0463406407,0.1554182733,0.6983220522
log cosine Fourier,"logm, order=3",69.0416632495,56.0245285475,14.5499243037,87.6345075492
log cosine Fourier,"d1, order=3",69.0416632495,56.0245285475,14.5499243037,87.6345075492
log cosine Fourier,"logm, order=9",72.7044023523,58.2571554916,14.5481677545,87.6807078083
log cosine Fourier,"d1, order=9",72.7044023523,58.2571554916,14.5481677545,87.6807078083
log cosine Fourier,"logm, order=18",74.1430440572,59.5567516387,14.5480935076,87.6913289312
log cosine Fourier,"d1, order=18",74.1430440572,59.5567516387,14.5480935076,87.6913289312
log cosine Fourier,"logm, order=11",74.4044995133,59.8664746798,14.5481378246,87.6845936250
log cosine Fourier,"d1, order=11",74.4044995133,59.8664746798,14.5481378246,87.6845936250
log cosine Fourier,"logm, order=14",74.5896574653,59.2038506287,14.5481101461,87.6883402009
log cosine Fourier,"d1, order=14",74.5896574653,59.2038506287,14.5481101461,87.6883402009
log cosine Fourier,"logm, order=7",74.8119791557,59.3569765443,14.5482129681,87.6743867904
log cosine Fourier,"d1, order=7",74.8119791557,59.3569765443,14.5482129681,87.6743867904
log cosine Fourier,"d1, order=5",78.4216756738,62.6853286342,14.5484643962,87.6627968670
log cosine Fourier,"logm, order=5",78.4216756738,62.6853286342,14.5484643962,87.6627968670
