month,remaining_periods,component,max_rel,p99_rel,mae,max_abs,avg_benchmark_stderr
0,12,local_quadratic,0.0013878462402641546,0.0013709710712247855,0.004178402907811704,0.011239968232727549,0.00859054675682021
3,9,local_quadratic,0.021289681549631585,0.020226579917113824,0.02114098793909697,0.0977794866703734,0.006217979637081973
6,6,anisotropic_chebyshev_d19,0.05319978510210891,0.0406493524893885,0.009649333235899891,0.05147169949555863,0.0028730931982488047
9,3,anisotropic_chebyshev_d19,0.052896085006096036,0.04982452381931106,0.007464648291120214,0.05678802101647484,0.001542720968075748
12,0,anisotropic_chebyshev_d19,0.0,0.0,0.0,0.0,0.0
