option_type,strike,vol,maturity,time,tau,method,detail,max_rel,p99_rel,mae,max_abs
call,80.000000,0.200000,0.500000,0.200000,0.300000,log B-spline,"d1, knots=12",0.0028486527,0.0028364921,0.0032035977,0.0156257203
call,80.000000,0.200000,0.500000,0.200000,0.300000,log Chebyshev,"d1, degree=7",0.0021266981,0.0021226655,0.0042278727,0.0446304511
call,80.000000,0.200000,0.500000,0.200000,0.300000,log polynomial,"spot, degree=9",0.0020257433,0.0020211542,0.0033725805,0.0317411056
call,80.000000,0.200000,0.500000,0.300000,0.200000,log B-spline,"d1, knots=12",0.0032926780,0.0032764466,0.0012479563,0.0087109460
call,80.000000,0.200000,0.500000,0.300000,0.200000,log Chebyshev,"d1, degree=7",0.0018803887,0.0018705391,0.0019242499,0.0105299012
call,80.000000,0.200000,0.500000,0.300000,0.200000,log polynomial,"spot, degree=9",0.0020276548,0.0011083477,0.0047413225,0.0624854868
call,80.000000,0.200000,0.500000,0.400000,0.100000,log B-spline,"d1, knots=12",0.0022515695,0.0020903946,0.0014322744,0.0101691403
call,80.000000,0.200000,0.500000,0.400000,0.100000,log Chebyshev,"d1, degree=7",0.0011688786,0.0010328850,0.0020131675,0.0244379929
call,80.000000,0.200000,0.500000,0.400000,0.100000,log polynomial,"spot, degree=9",0.0068667220,0.0050352173,0.0140093615,0.1435640170
call,80.000000,0.200000,1.000000,0.200000,0.800000,log B-spline,"d1, knots=12",0.0040796798,0.0040222386,0.0032835414,0.0273717535
call,80.000000,0.200000,1.000000,0.200000,0.800000,log Chebyshev,"d1, degree=7",0.0016946477,0.0012728434,0.0065891771,0.1190756602
call,80.000000,0.200000,1.000000,0.200000,0.800000,log polynomial,"spot, degree=9",0.0010636623,0.0010616703,0.0036690098,0.0462529547
call,80.000000,0.200000,1.000000,0.400000,0.600000,log B-spline,"d1, knots=12",0.0026176345,0.0025959651,0.0053760277,0.0259467686
call,80.000000,0.200000,1.000000,0.400000,0.600000,log Chebyshev,"d1, degree=7",0.0016442791,0.0015339426,0.0073992920,0.0693506531
call,80.000000,0.200000,1.000000,0.400000,0.600000,log polynomial,"spot, degree=9",0.0013624003,0.0012796138,0.0053084856,0.0252277812
call,80.000000,0.200000,1.000000,0.600000,0.400000,log B-spline,"d1, knots=12",0.0060644906,0.0060124831,0.0020524680,0.0102128430
