day_index,time,remaining_periods,method,detail,train_states,train_scenarios_per_fit_target,train_scenarios_used,train_paths_per_state,validation_states,benchmark_paths_per_state,max_rel,p99_rel,p95_rel,mae,max_abs,median_error_over_benchmark_se,avg_train_stderr,avg_benchmark_stderr
0,0.0,12,bounded-logit z Chebyshev,"expected-total z feature, boundary grid, degree=19",1,10000000,10000000,10000000,1,500000,0.0006049157594801047,0.0006049157594801047,0.0006049157594801047,0.004771915402949745,0.004771915402949745,1.8636032598604886,0.000572324601736458,0.002560585455998277
3,0.25,9,bounded-logit z Chebyshev,"expected-total z feature, boundary grid, degree=19",166,10000000,10000006,60241,83,500000,0.004708114049616431,0.003097185200341665,0.0020976679965667923,0.0031340541543879883,0.013480418260284122,0.9625007853328709,0.007089933410333847,0.002466506882913565
6,0.5,6,bounded-logit z Chebyshev,"expected-total z feature, boundary grid, degree=19",205,10000000,10000105,48781,102,500000,0.010600484186082814,0.010044791407673085,0.005651609461899447,0.002992168233026965,0.01050292384867646,1.346024939322978,0.006255139110992129,0.0019553889433300566
9,0.75,3,bounded-logit z Chebyshev,"expected-total z feature, boundary grid, degree=19",240,10000000,10000080,41667,120,500000,0.03457153235577266,0.022131272941927453,0.014334379056041697,0.006951114237629031,0.030643554997139333,3.6636209882623185,0.0024509377103232154,0.00070143017065117
12,1.0,0,bounded-logit z Chebyshev,"expected-total z feature, boundary grid, degree=19",120,10000000,10000080,83334,60,500000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
