product,method,time_index,remaining_steps,max_rel,p99_rel,mae,max_abs
european,chebyshev,0.2,0,0.001857678963803136,0.0017933665727772295,0.004454558637944886,0.037274514909583445
european,pchip,0.2,0,0.01604254376066362,0.012043957942334852,0.014291300007316302,0.10089476540695941
european,akima,0.2,0,0.015747793422753138,0.011666159301085053,0.01407946812855382,0.10177552763633813
european,bezier_global,0.2,0,0.0015784658919792294,0.001574543130636933,0.0034039353772162277,0.044284253263512596
european,bezier_pchip,0.2,0,0.01604254376066362,0.012043957942335072,0.014291300007315056,0.1008947654069523
european,chebyshev,0.4,0,0.00293583610071795,0.0029092543231090846,0.006931710436517331,0.09077601778504629
european,pchip,0.4,0,0.025537962195877777,0.015933380164615787,0.01010712012192447,0.07024128379894456
european,akima,0.4,0,0.025398767547110405,0.015261382286988735,0.010053690222885986,0.0687428505153651
european,bezier_global,0.4,0,0.00252669255812743,0.002508139962783141,0.007565052271497686,0.06141743361581575
european,bezier_pchip,0.4,0,0.025537962195877353,0.015933380164615266,0.010107120121924143,0.07024128379894456
european,chebyshev,0.6,0,0.008537589684447922,0.008408561471596633,0.008987769538228708,0.08742334127096285
european,pchip,0.6,0,0.019964050580374166,0.014039383729814451,0.006724668021561651,0.05982949012850014
european,akima,0.6,0,0.01973038830614138,0.013547872220427483,0.00660805269648757,0.060551409856723026
european,bezier_global,0.6,0,0.0053617716207618946,0.005321453830249678,0.005466735641819682,0.044873300232339375
european,bezier_pchip,0.6,0,0.019964050580374693,0.014039383729814451,0.0067246680215623765,0.05982949012850014
european,chebyshev,0.8,0,0.003247065033113561,0.0031676994699214203,0.0017397485060001155,0.009408843774849629
european,pchip,0.8,0,0.0172765170648505,0.015415851575415872,0.004366397881092378,0.034816197598306786
european,akima,0.8,0,0.017158096456255968,0.01587312720267523,0.004332565789570013,0.03479211610983857
european,bezier_global,0.8,0,0.0010734978110273422,0.0010184192061992933,0.0012950336512160304,0.0057103931088207105
european,bezier_pchip,0.8,0,0.0172765170648505,0.015415851575415872,0.00436639788109269,0.03481619759830412
european,chebyshev,1.0,0,0.0,0.0,0.0,0.0
european,pchip,1.0,0,0.0,0.0,0.0,0.0
european,akima,1.0,0,0.0,0.0,0.0,0.0
european,bezier_global,1.0,0,0.0,0.0,0.0,0.0
european,bezier_pchip,1.0,0,0.0,0.0,0.0,0.0
asian,chebyshev,0,11,0.03285757824345544,0.030269952013108184,0.04896060316767136,0.4238820971614281
asian,pchip,0,11,0.0005894000747529854,0.0005817462275933884,0.0003257190337477165,0.0009363369840400537
asian,akima,0,11,0.0006334599308878495,0.0006299351423970604,0.00032865396620370183,0.0009363369840400537
asian,bezier_global,0,11,0.024780544068338736,0.022874996340391706,0.038824095302791656,0.3196836026885457
asian,bezier_pchip,0,11,0.0005894000747529854,0.0005817462275933168,0.00032571903374749756,0.0009363369840400537
asian,chebyshev,3,8,0.02734604544856863,0.02694143781153372,0.01266159106329802,0.20022563275722938
asian,pchip,3,8,0.027027377878156584,0.026575699880696284,0.0005403580811634532,0.01245827835044988
asian,akima,3,8,0.0018561464951221025,0.0013374393416855047,0.00034927744699038155,0.0018645648566248951
asian,bezier_global,3,8,0.0685403111432827,0.06800785706826777,0.03225764055930768,0.31944582796361587
asian,bezier_pchip,3,8,0.027027377878156584,0.026575699880696284,0.0005403580811634112,0.01245827835044988
asian,chebyshev,6,5,0.02111438714798401,0.019264925956951125,0.004527483852166745,0.06555162596764497
asian,pchip,6,5,0.03452614874621177,0.01641212252370921,0.0004727247416073834,0.015541057472674868
asian,akima,6,5,0.0007497678840586326,0.0007439683279433028,0.00019915052521936463,0.001579152021236041
asian,bezier_global,6,5,0.06593053405593344,0.06531212306935101,0.017266827600820735,0.2100819632780162
asian,bezier_pchip,6,5,0.03452614874621085,0.016412122523708578,0.0004727247416074594,0.015541057472673536
asian,chebyshev,9,2,0.010560814438638842,0.00955002320937104,0.0014638895092326791,0.03715999874140241
asian,pchip,9,2,0.008206717058549274,0.0032273880306653265,2.629706938354045e-05,0.0007995731308490239
asian,akima,9,2,0.000193069026994952,0.00015098290747826048,1.4512061389819007e-05,0.00018009542588881544
asian,bezier_global,9,2,0.00920704965159948,0.008960812989768167,0.0011861929418726094,0.0339510296765857
asian,bezier_pchip,9,2,0.008206717058549274,0.003227388030665004,2.6297069383491468e-05,0.0007995731308490239
asian,chebyshev,11,0,0.0,0.0,0.0,0.0
asian,pchip,11,0,0.0,0.0,0.0,0.0
asian,akima,11,0,0.0,0.0,0.0,0.0
asian,bezier_global,11,0,0.0,0.0,0.0,0.0
asian,bezier_pchip,11,0,0.0,0.0,0.0,0.0
